#uniqueId raJ2000 decJ2000 phoSimMagNorm umag rmag gmag imag zmag ymag
451313094660 89.5610173 -21.839981 8.86094542 11.2464675 8.3396595 9.1968405 8.0160462 7.8689951 7.7659258
455702193156 89.9810969 -21.3916163 9.70237793 11.6097561 9.3666996 10.0291611 9.1117473 8.9997635 8.9372378
31036367516676 86.1142828 -31.4598163 6.43493154 7.9810133 6.0649283 6.588454 5.8781993 5.8054937 5.7693733
31036368050180 86.0666929 -31.4969936 9.26076649 11.2194999 8.7901759 9.51821 8.5106748 8.3927753 8.3237661
31565315692548 86.4004546 -31.7645024 7.01706058 8.9523332 6.5097562 7.2398928 6.2312902 6.1160497 6.048242
31036372475908 86.0639628 -31.6967479 9.58495039 11.2266991 9.255622 9.8048727 9.0546521 8.9716322 8.9292478
31036401170436 86.3471905 -32.6860575 7.57531252 9.6525569 7.084733 7.825676 6.8152553 6.7077304 6.6355006
31565325212676 86.308974 -32.5168815 9.93576019 11.5615835 9.6126851 10.188312 9.3840834 9.2829433 9.2351821
459968305156 89.5910407 -21.5882205 6.61146546 8.6095567 6.1169525 6.8666266 5.8288005 5.7070495 5.6350492
31036372378628 85.7024579 -31.7836795 9.31237793 11.1049531 8.9104938 9.5495203 8.6698972 8.5700662 8.5146227
446822507524 90.288431 -21.8554248 9.91606076 11.9777068 9.4808583 10.2365819 9.1866239 9.0581197 8.9825312
459983331332 90.1031564 -22.0852116 8.72897642 10.4483855 8.3598189 8.9948041 8.1046433 7.9908847 7.9344826
455709184004 90.8501517 -21.4149302 8.82479664 10.3010675 8.5590732 9.0412397 8.3751753 8.2941257 8.2609363
31040746116100 97.4538686 -34.8853948 8.73794544 11.2835868 8.3080791 9.1968709 7.9645449 7.8007034 7.687783
31040746628100 97.7400455 -34.80818 8.89074639 10.6159191 8.6420326 9.2316984 8.4033722 8.2920833 8.2386663
31036490077188 89.435684 -33.9417542 9.85549985 11.7431056 9.4901244 10.1549121 9.2355171 9.1255114 9.0638412
455704891396 90.5996117 -21.2976567 8.82085958 10.8135678 8.4334654 9.1130762 8.1870745 8.0864542 8.021988
31036903035908 97.5848874 -35.2341554 9.38221264 10.8005111 9.2015682 9.6438892 9.0304112 8.9541247 8.9228117
